,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Ben Nevis 27 Year Old 1991 (cask 2381) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-27-year-old-1991-cask-2381-cask-strength-collection-signatory-whisky/,," Danish pastries, lots of dried fruit and fresh, juicy berries."," Dark cherries and dark chocolate, raisins, sweet and sharp red fruits and orange oil.", Dark chocolate returns alongside blackberry jam.,Scotch Whisky,Highland Whisky,Ben Nevis,Signatory,27 year old Whisky,05 Jul 1991,Single Malt Whisky,19 Feb 2019,57.5%,70cl
Glenglassaugh Torfa,https://www.masterofmalt.com/whiskies/glenglassaugh/glenglassaugh-torfa-whisky/,," Smoke and citrus in equal measures, with sweet spice happily sitting between the two."," Not overtly smoky. It's definitely got its coastal elements, but the fruity notes of melon, apple and yet more citrus make it a rather sweet dram, balanced by warming barley. ", Smoke lasts to the end. ,Scotch Whisky,Highland Whisky,Glenglassaugh,Glenglassaugh,,,Single Malt Whisky,,50.0%,70cl
Allt-á-Bhainne,https://www.masterofmalt.com/whiskies/allt-a-bhainne/allt-a-bhainne-whisky/,," Smoky malt and a prickle of white pepper spice blend with toffee apples, buttery pastry, a hint of heather and toasted oak."," Butterscotch, roasted apricot and honey provide sweetness among gingerbread and cinnamon spice and earthy peat.", A long finish has plenty of drying smoke and fizzing spice.,Scotch Whisky,Speyside Whisky,Allt-á-Bhainne,Allt-a-Bhainne,,,Single Malt Whisky,,40.0%,70cl
Loch Lomond 18 Year Old,https://www.masterofmalt.com/whiskies/loch-lomond/loch-lomond-18-year-old-whisky/,," Old oak furniture and tobacco, supported by sweeter notes of honey'd cereal.", Nutty brown bread with a thin layer of blackcurrant jam. Slight smokiness along the way.," Lingering peat - not too strong, but easily noticeable.",Scotch Whisky,Highland Whisky,Loch Lomond,Loch Lomond,18 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Isle of Jura The Loch,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-the-loch-whisky/,," Rich oak and milky coffee, with a burst of juicy raisin sweetness."," Thick caramel and treacle, balanced by a hint of peat smoke. Lasting zesty citrus peel notes.", Robust spices kick in on the finish.,Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,44.5%,70cl
Aberfeldy 16 Year Old ,https://www.masterofmalt.com/whiskies/aberfeldy/aberfeldy-16-year-old-whisky/,," Raisins and cinnamon at first, before moving onto butterscotch, caramel and apple slice. A touch of floral malt, too."," Well rounded and mellow, but not lazy at all. More apple at first, soon joined by clementine segments and honey on toast. A spark of ginger.", Waxy peels and oak.,Scotch Whisky,Highland Whisky,Aberfeldy,Aberfeldy,16 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Tullibardine 225 Sauternes Cask Finish,https://www.masterofmalt.com/whiskies/tullibardine/tullibardine-225-sauternes-cask-finish-whisky/,," Citrus peels and allspice. Notes of creamy vanilla, golden syrup, cocoa butter and black pepper.", Spiced palate entry with notes of candied orange and Seville marmalade. A little dried pineapple and white chocolate., Medium finish with lingering sweet spices.,Scotch Whisky,Highland Whisky,Tullibardine,Tullibardine,,,Single Malt Whisky,,43.0%,70cl
Wolfburn Northland Single Malt,https://www.masterofmalt.com/whiskies/wolfburn/wolfburn-northland-single-malt-whisky/,," Orchard fruits, apple pie, a fresh maltiness, almonds, magnolia and a suggestion of smoke"," Honey Nut Clusters breakfast cereal, sweet spices, chocolate croissant, more honey towards the end, and a subtle earthy peatiness."," Long and fresh, with even more rich honey notes",Scotch Whisky,Highland Whisky,Wolfburn,Wolfburn,,,Single Malt Whisky,,46.0%,70cl
Talisker Storm,https://www.masterofmalt.com/whiskies/talisker/talisker-storm-whisky/,," Initial brine, but not as abrupt as the 10 Year Old, quite creamy by comparison. Banana. Banana angel delight? Window putty, hint of sticking plasters and barbecues, citrus. White pepper develops towards the bottom of the glass."," Thick and mouth-coating with wood smoke, brine, some tin and chilli heat too.", Red chilli peppers and oak dryness with a hint of embers.,Scotch Whisky,Island Whisky,Talisker,Talisker,,,Single Malt Whisky,,45.8%,70cl
Inchmoan 12 Year Old,https://www.masterofmalt.com/whiskies/loch-lomond/inchmoan-12-year-old-whisky/,," Mint leaf, burnt wood, a hint of medicinal peat."," Spicy as it opens, with plenty of black pepper and cinnamon. Soon enough, layers of toffee develop to balance it out.", Fruitier notes arrive on the finish.,Scotch Whisky,Highland Whisky,Loch Lomond,Loch Lomond,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Auchroisk 7 Year Old 2009 - Hepburn's Choice (Langside),https://www.masterofmalt.com/whiskies/auchroisk/auchroisk-7-year-old-2009-hepburns-choice-langside-whisky/,," Buttered malt loaf, lemon zest, a background note of dry oak."," Honey and marmalade, with hints of rye spice giving it a warming core.", Light whispers of smoke and sponge cake.,Scotch Whisky,Speyside Whisky,Auchroisk,Langside Distillers,7 year old Whisky,2009,Single Malt Whisky,2017,46.0%,70cl
"Caol Ila 9 Year Old 2009 (casks 314152, 314165 & 315013) - James Eadie",https://www.masterofmalt.com/whiskies/caol-ila/caol-ila-9-year-old-2009-casks-314152-314165-and-315013-james-eadie-whisky/,," Very malty, with potent herbal notes and orchard fruits, veiled by subtle coastal smoke."," Salted nuts, floral heather honey, candied lemon and balanced whispers of smoke.", Warming notes of peppery spice and smoke.,Scotch Whisky,Islay Whisky,Caol Ila,James Eadie,9 year old Whisky,2009,Single Malt Whisky,2019,46.0%,70cl
Balvenie DoubleWood 12 Year Old (20cl),https://www.masterofmalt.com/whiskies/balvenie/balvenie-doublewood-12-year-old-20cl-whisky/,," Gristy, supple nuttiness intertwined with spices. Honeyed sultanas and grapes. Hugely inviting."," Sweet with good body. The bourbon characters develop; gentle spice with a little vanilla, a hint of balancing peat lurking quietly in the substrata. Dried fruit too, combining with nuts, nutmeg, cinnamon, back into the bourbon notes - so well integrated."," Spicy, slightly drying, still sweet.",Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,12 year old Whisky,,Single Malt Whisky,,40.0%,20cl
Arran 21 Year Old 1996 (cask 12357) - Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/arran/arran-21-year-old-1996-cask-12357-old-particular-douglas-laing-whisky/,," Buttered toast and lemon curd, with a few touches of floral malt."," Crunchy brown sugar and a hint of grist, though soon overshadowed by salted caramel and sherbet lemon sweeties.", A flash of dried oak appears right on the tail.,Scotch Whisky,Island Whisky,Arran,Douglas Laing,21 year old Whisky,July 1996,Single Malt Whisky,February 2018,52.0%,70cl
The Glenrothes 1995 (bottled 2016) - American Oak,https://www.masterofmalt.com/whiskies/glenrothes/the-glenrothes-1995-bottled-2016-american-oak-whisky/,," Cracked black pepper, strawberries and cream, lemon meringue, apricot. ", Sweet at first with juicy plum and orange. A savoury hint of buttered corn underneath. Softly simmering hints of hot cinnamon.," Crunchy brown sugar, sultanas, vanilla.",Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,,26 Oct 1995,Single Malt Whisky,28 Jul 2016,45.0%,70cl
Aberlour 10 Year Old,https://www.masterofmalt.com/whiskies/aberlour-10-year-old-whisky/,," Sweet and full. Sherried raisins, hints of toffee and a pleasant nuttiness."," Quite full-bodied, spicy rich fruitcake, toffee notes and a creamy malty-feel and the vaguest whisper of something akin to synthetic banana."," Caramel and honey, the malt still evident and the sweet spices still linger.",Scotch Whisky,Speyside Whisky,Aberlour,Aberlour,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Octomore 10 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/bruichladdich/octomore-that-boutiquey-whisky-company-whisky/,," Coastal air and seaweed bring a wave of salinity among bricks of freshly-cut peat and heavy oak char. Vintage cider apples, buttery shortbread and a hint of gingerbread warmth are present underneath."," Sticky toffee pudding and salted caramel stand strong against waves of big peat and bonfire notes. There’s a flurry of soft tropical fruit notes in the backdrop among golden barley and a touch of sweet, milky coffee."," The peat note becomes more earthy and is joined by a fizz of winter spice, a heap of soot and clean aniseed.",Scotch Whisky,Islay Whisky,Bruichladdich,That Boutique-y Whisky Company,10 year old Whisky,,Single Malt Whisky,,48.8%,50cl
Old Pulteney Duncansby Head 1l,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-duncansby-head-1l-whisky/,,,,,,,,,,,,,,
Highland Park 12 Year Old Gift Pack with 2x Glasses,https://www.masterofmalt.com/whiskies/highland-park/highland-park-12-year-old-gift-pack-with-two-glasses-whisky/,,,,,,,,,,,,,,
Bruichladdich Islay Barley 2011,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-islay-barley-2011-whisky/,," Bright grapefruit and nectarine, balanced by a hint of sea spray."," Almond, walnut and barley, joined by tinned peaches, milk chocolate and orange peel."," Subtly coastal, with white grape and barley sugar in support.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,,2011,Single Malt Whisky,,50.0%,70cl
Balvenie 12 Year Old Triple Cask,https://www.masterofmalt.com/whiskies/balvenie/balvenie-12-year-old-triple-cask-whisky/,,,,,,,,,,,,,,
Glen Moray 28 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-28-year-old-that-boutique-y-whisky-company-tbwc/,," Coconut and milk chocolate, with red apple and vanilla-y malt following on."," Warming cinnamon and black pepper, balanced by raspberry compote and more coconut.", Oak tannins and waxy orange peel.,Scotch Whisky,Speyside Whisky,Glen Moray,That Boutique-y Whisky Company,28 year old Whisky,,Single Malt Whisky,,47.5%,50cl
Fettercairn 8 Year Old 2009 (cask 1091)- Cask Collection (A.D. Rattray),https://www.masterofmalt.com/whiskies/fettercairn/fettercairn-8-year-old-2009-cask-1091-cask-collection-ad-rattray-whisky/,," Biscuit dough, dried orange, toffee and peppercorn."," Oily barley, stem ginger and a touch of nutmeg.", Citrus-y hops and candle wax.,Scotch Whisky,Highland Whisky,Fettercairn,A. D. Rattray,8 year old Whisky,31 Mar 2009,Single Malt Whisky,10 Oct 2017,60.3%,70cl
Glenmorangie Astar 2017 Release,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-astar-2017-release-whisky/,," Honeycomb and caramel, with a hint of peaches in syrup underneath."," Touches of nutmeg and ginger bring the heat to the palate. Still rich in honey'd malt, joined by toasted pecan and hazelnut cream."," Salted fudge, vanilla ice cream (a hint of ice cream cone, too) and mint leaf.",Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,,Single Malt Whisky,,52.5%,70cl
Edradour Ballechin 10 Year Old,https://www.masterofmalt.com/whiskies/edradour/edradour-ballechin-10-year-old-whisky/,," Oily malt, whiffs of burnt ends and BBQ char, a few touches of apple and fig."," Chewy dates and oak, with smouldering peat bringing spicy heat to the palate.", A hint of ash sticks around on the finish.,Scotch Whisky,Highland Whisky,Edradour,Edradour,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Royal Brackla 8 Year Old 2010 (cask 11) - Cask Collection (A.D Rattray),https://www.masterofmalt.com/whiskies/ad-rattray/royal-brackla-8-year-old-2010-cask-11-cask-collection-a-d-rattray-whisky/,," Raspberry, caramel, almond pastries and coconut."," Fresh orange and blackcurrant, with a hint of chocolate developing. Peppery oak sticks around.", Just a touch of coffee bean richness appears on the finish.,Scotch Whisky,Scotch Whisky,A. D. Rattray,A. D. Rattray,8 year old Whisky,05 Apr 2010,Single Malt Whisky,12 Nov 2018,58.1%,70cl
Caramel Panna Cotta 2001 (bottled 2018) - Wemyss Malts (Benrinnes),https://www.masterofmalt.com/whiskies/benrinnes/caramel-panna-cotta-2001-bottled-2018-wemyss-malts-benrinnes-whisky/,," Honey, floral barley and a touch of violet, melted butter."," Molasses, crumbly pastry, sea salt flakes, menthol and peppercorn."," Chocolate and hazelnut spread, dates and vanilla.",Scotch Whisky,Speyside Whisky,Benrinnes,Wemyss Malts,,2001,Single Malt Whisky,2018,46.0%,70cl
Balmenach 15 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/balmenach/balmenach-that-boutiquey-whisky-company-whisky/,," Powerfully malty, with layers of summer berry tart and liquorice sweeties developing."," Seaside fudge, buttery shortbread, cinnamon and nutmeg. Just a touch of oak in the background."," Continued buttery deliciousness, paired with a whisper of chocolate ice cream.",Scotch Whisky,Speyside Whisky,Balmenach,That Boutique-y Whisky Company,15 year old Whisky,,Single Malt Whisky,,50.1%,50cl
Bladnoch Adela 15 Year Old,https://www.masterofmalt.com/whiskies/bladnoch/bladnoch-adela-15-year-old-whisky/,," Walnut and coffee cake, juicy cherries and a hint of lemongrass."," Chocolatey and rich, with notes of strawberry, liquoirce and clove in tow.", Quite long and packed with Oloroso sweetness.,Scotch Whisky,Lowland Whisky,Bladnoch,Bladnoch,15 year old Whisky,,Single Malt Whisky,,46.7%,70cl
Macduff 18 Year Old 1997 (cask 5852) - Ancient Mariner,https://www.masterofmalt.com/whiskies/macduff/macduff-18-year-old-1997-cask-5852-ancient-mariner-whisky/,," Charred strawberries, freshly baked nut loaf, peppermint sweeties and a floral bouquet."," Honeyed orchard fruits and a good crack of black pepper, malty cereal and vanilla syrup."," Sugary peach tart, tobacco and underlying wood spice.",Scotch Whisky,Highland Whisky,Macduff,Ancient Mariner,18 year old Whisky,1997,Single Malt Whisky,,46.1%,50cl
Tobermory 21 Year Old Oloroso Cask Finish,https://www.masterofmalt.com/whiskies/tobermory/tobermory-21-year-old-oloroso-cask-finish-whisky/,," Clove-studded orange, dark chocolate, floral vanilla and a whiff of oak char."," Prune and walnut, followed by more dark chocolate richness. Nutmeg develops later on. Caramac bars, too.", Drying cinnamon and leather notes fade slowly on the finish.,Scotch Whisky,Island Whisky,Tobermory,Tobermory,21 year old Whisky,,Single Malt Whisky,,46.3%,70cl
Glenfarclas 17 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas-17-year-old-whisky/,," Complex and sophisticated, notes of buttery toffee, malt sherried peels, dates and even a hint of peat!"," Full-bodied and rich, it fills and coats the palate with warming nutmeg, sherried fruits, cinnamon and mixed peels."," Long, spicy and sweet with just a hint of smoke on the tail.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,17 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenrothes 12 Year Old - Founder's Collection (The Whisky Baron),https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-12-year-old-founders-collection-the-whisky-baron-whisky/,," Stewed and spiced apples and pears, with a drizzle of caramel and just a touch of pepper spice."," Freshly baked gingerbread, with oodles more baking spices in tow, namely cinnamon and nutmeg, with buttery shortbread and sultanas.", Spices continue strongly into a long and dry finish.,Scotch Whisky,Speyside Whisky,Glenrothes,The Whisky Baron,,22 May 2006,Single Malt Whisky,21 Mar 2019,57.0%,70cl
The Ardmore Legacy ,https://www.masterofmalt.com/whiskies/ardmore/the-ardmore-legacy-whisky/,," It leans more on the savoury than the sweet side of things, with light barbecue char and earthy notes up-front. Sweet cinnamon, fresh honey and vanilla toffee waft up at points. "," More charred, smoky notes, joined by drying oak, pear drops and subtle grassy touches. Give it a minute for citrus zest and expressive heather to appear. "," A lasting peat smoke finish, with a little bit of honey'd barley for good measure. ",Scotch Whisky,Highland Whisky,Ardmore,Ardmore,,,Single Malt Whisky,,40.0%,70cl
